sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes,word_count
CONTRACT_0452,contract_v5,154,"However, the lead cleaners shall have no supervisory authority over or responsibility for WEP participants.",HARD,deontic:obligation,2,,,,,,,15
CONTRACT_2191,contract_v5,564,"Any employee without a violation, by category, for twelve (12) months shall repeat the earlier penalty imposed as part of the progression in that category.",HARD,deontic:obligation,2,,,,,,,25
CONTRACT_2030,contract_v5,499,"The errployee shall be referred to the Employee Assistance Program, relieved of his or her responsibilities, and given the opportunity for rehabilitation through that program.",HARD,deontic:obligation,2,,,,,,,25
CONTRACT_1853,contract_v5,414,"Each employee so displaced shall be permitted to displace any employee with less clerical seniority at the same or lower rate of pay, provided such employee has the necessary qualifications.",HARD,deontic:obligation,2,,,,,,,30
CONTRACT_1541,contract_v5,341,"The Director, Labor Relations, MaBSTOA or his/her designee or designees shall, within eight",HARD,deontic:obligation,2,,,,,,,13
CONTRACT_1204,contract_v5,271,"The Union shall be notified of any changes in Cleaner's (TA) work schedules before they are put into effect. 2) Prior to each pick, the department may designate fifty (50) Railroad Clerks, and forty (40) Cleaners (TA) jobs posted on the pick as restricted duty jobs.",HARD,deontic:obligation|deontic:permission,2,,,,,,,46
CONTRACT_2092,contract_v5,519,The designated Employer official at the facility shall work with the designated Union representative at the facility and the employee requesting accommodation to secure an acceptable' work schedule.,HARD,deontic:obligation,2,,,,,,,28
CONTRACT_0880,contract_v5,201,"SECTION 2.19 - MISCELLANEOUS PAYMENTS A.1) During the period of this contract, the Transit Authority shall pay a sum computed at the rate of $500.00 a year to each employee covered by the terms of this Agreement; a.",HARD,deontic:obligation,2,,,,,,,38
CONTRACT_0960,contract_v5,212,Train Operators operating a train which is involved in a passenger fatality shall be granted three,HARD,deontic:obligation,2,,,,,,,16
CONTRACT_0328,contract_v5,137,No Cleaner making a 3rd year Cleaner rate shall be paid a rate less than a 2nd year rate in the promotional title. 2.,HARD,deontic:obligation,2,,,,,,,24
CONTRACT_1862_p2,contract_v5,416,"6) Upon request of the Operating Authority, employees applying for sickness disability benefits shall furnish a certificate from their attending physician stating the nature of and the date of the beginning of the illness, or date of injury, the date first attended by the physician, and the estimated or actual duration of illness or injury.",HARD,deontic:obligation,2,,,,,,,55
CONTRACT_0897,contract_v5,204,"These Train Operators shall receive rates of pay applicable to road service only on such days as they may be actually assigned to a run in road service. 5) When a Train Operator has picked a regular run or trick and after reporting therefor, through no fault of his/her own, is assigned to another run or trick instead, he/she shall be paid at least the time his/her original run or trick called for by schedule.",HARD,deontic:obligation|deontic:permission,2,,,,,,,75
CONTRACT_2166,contract_v5,555,"Should the employee not be given a practical examination within the Examination Period, the employee shall be returned to pay status at the conclusion of the Examination Period, until such a practical examination is given. 3.",HARD,deontic:obligation|deontic:preference,2,,,,,,,36
CONTRACT_0023_p4,contract_v5,20,4) FfA Report The Authority will forward the Union the annual NYCT MIS drug and alcohol testing and compliance report to the FfA .,HARD,deontic:obligation,2,,,,,,,24
CONTRACT_2041,contract_v5,502,Refusal to take a random alcohol test is treated in accordance with Section 102. 5.3 The Authority shall utilize a breath analysis test to determine whether a blood alcohol test should be given.,HARD,deontic:obligation|deontic:preference,2,,,,,,,33
CONTRACT_1219,contract_v5,273,"Refuse Driver Differential Employees who work refuse truck driver jobs shall be entitled to a driver differential of $1.00 per hour which shall be paid for all hours actually worked, including vacation.",HARD,deontic:obligation,2,,,,,,,32
CONTRACT_1499,contract_v5,328,"If the percentage figure results in a fraction above .50, the daily minimum quota for the depot will be the subsequent whole number. 2) The Authority shall increase the quota of employees on vacation from an equal number of employees off on each week of the year to 10% above that number during the weeks including May l to September 30; and the weeks of Christmas, New Years, Thanksgiving and Easter.",HARD,deontic:obligation|deontic:permission,2,,,,,,,71
CONTRACT_1724,contract_v5,376,"4) Where said Union files its complaint with the General Superintendent before the date fixed for the posting of the schedule, an appeal may be taken to the Impartial Arbitrator immediately after the decision by the Operating Authority's Director of Labor Relations or his/her designee, which appeal shall be accompanied by a statement setting forth the basis of the contention that the schedule imperils the health or safety of employees, and accompanied also by a copy of the decision by the Operating Authority's Director of Labor Relations or his/her designee.",HARD,deontic:obligation|deontic:permission,2,,,,,,LONG_UNSPLIT,90
CONTRACT_1138,contract_v5,253,(l) pick shall be conducted every fourteen (14) months with all quota jobs to be listed on the pick.,HARD,deontic:obligation,2,,,,,,,19
CONTRACT_1577,contract_v5,348,"have the pensions currently paid by the Companies, the Operating Authority shall advance his/her monthly pension to each of such pensioners whose monthly pension had been advanced to him/her by the Operating Authority for the month of October, 1966, on the same terms and conditions as the October, 1966, payment had been advanced to him/her, as set forth in Article XXIV of the Agreement between the parties dated as of January 1, 1966.",HARD,deontic:obligation,2,,,,,,,73
CONTRACT_0807,contract_v5,192,"If a Train Operator, Conductor, Bus Operator or Railroad Clerk who has a regular run is permitted by pick or otherwise, to take on any extra work in addition to his/her regular run, such extra work, even if arranged for in advance, shall not, for the purpose of this Section, be considered as part of his/her regular work schedule.",HARD,deontic:prohibition|deontic:obligation,2,,,,,,,59
CONTRACT_1619,contract_v5,355,(1) year but who at the beginning of the vacation year shall not have been employed for more than three,HARD,deontic:prohibition|deontic:obligation,2,,,,,,,20
CONTRACT_1712,contract_v5,372,"The following provisions shall apply with respect to accidental injuries sustained in the course of an employee's employment on or after July 1, 1968.",HARD,deontic:obligation,2,,,,,,,24
CONTRACT_0465,contract_v5,155,"Following such report, the Parties may, upon mutual consent, submit to the committee additional questions as may arise during the contract term.",SOFT,deontic:permission,2,,,,,,,22
CONTRACT_1309,contract_v5,292,Committee on Revenue Procedures This Committee shall meet when necessary at no loss of pay to discuss revenue procedures in Rapid Collections and the Revenue Rooms.,HARD,deontic:obligation,2,,,,,,,26
CONTRACT_1763_p3,contract_v5,387,3) An employee engaged in emergency work outside of his/her regularly scheduled working time will be given a meal allowance of three dollars ($3.,HARD,deontic:obligation,2,,,,,,,24
CONTRACT_2078,contract_v5,514,OA union representative may escort a retiree to East New York upon his/her retirement.,SOFT,deontic:permission,2,,,,,,,14
CONTRACT_1996,contract_v5,491,Questions oonceming the effed of a Drug on performance should be referred to the Authority's Medical Department. 52 Each employee shaft provide evidence of medical authorization upon request.,SOFT,deontic:preference,2,,,,,,,28
CONTRACT_2003,contract_v5,493,"The provisions of Section 9.0 shall not apply to e""l'loyees dismissed under this paragraph. 6.5 When the testing is positive for drugs or controned substances, excluding marijuana, for an e""l'loyee with one or more years of service, the 81J1)1oyee shall be ~;sr.-Jssed. 6.6 Art e""l'loyee, with more than one",HARD,deontic:prohibition|deontic:obligation,2,,,,,,,49
CONTRACT_0171,contract_v5,55,Such an alternate work week may consist of four days at ten hours per day.,SOFT,deontic:permission,2,,,,,,,15
CONTRACT_0918,contract_v5,207,"The schedule for every straight run, trick or job shall be written so as to provide for a thirty (30) minute lunch period as nearly as practicable between the third and sixth hours of work and no deduction of pay shall be made on account of such lunch period.",HARD,deontic:obligation,2,,,,,,,49
CONTRACT_1252,contract_v5,281,"(3) minutes to pick. 14) No employee shall lose any money if his or her pick time falls within his or her regular tour of duty. 15) Employees picking off their tour[s], on vacation or on their day off will participate on their own time. 16) Employees will pick via the NYC Transit Talon System at their work locations commencing and concluding at a time mutually agreed to by Management and the Union, not on a Saturday or Sunday.",HARD,deontic:obligation|deontic:prohibition,2,,,,,,,79
CONTRACT_0665,contract_v5,177,"Each such employee who, at the beginning of a vacation year shall have been actively employed for more than three",HARD,deontic:obligation,2,,,,,,,20
CONTRACT_0940,contract_v5,210,"An ""Extra"" Road Train Operator shall be permitted to select his/her regular day off, tour of duty and line.",HARD,deontic:obligation,2,,,,,,,19
CONTRACT_0388_p2,contract_v5,145,"a) initiated by an elected or appointed official of the Union, who has been designated by the Union to make such requests in behalf of employees seeking to be released;",HARD,deontic:obligation,2,,,,,,,30
CONTRACT_1742,contract_v5,384,(7) absences in a calendar year may be required by the Authority for each absence thereafter to report on his/her own time to the Authority's Medical Department before being allowed to return to work.,SOFT,deontic:permission,2,,,,,,,34
CONTRACT_0989,contract_v5,217,"11) The spread of time off between two tours of duty for conductors on the extra Extra List only, shall be at least twelve (12) hours.",HARD,deontic:obligation,2,,,,,,,26
CONTRACT_0798_p3,contract_v5,190,2) That the accidental injury is the direct cause of the employee's incapacity for work.,HARD,deontic:obligation,2,,,,,,,15
CONTRACT_1089,contract_v5,239,These employees may be utilized without penalty for house maintenance at locations other than that to which he/she is regularly assigned according to the needs of the Department when the Department determines that such assignments are consistent with the employee's workload.,SOFT,deontic:permission,2,,,,,,,41
CONTRACT_1088,contract_v5,239,Barn Assignments A Car Maintainer-Group E (CME) and a Mechanical Maintainer-Group C (MMC) shall be assigned to each Car Maintenance Barn.,HARD,deontic:obligation,2,,,,,,,21
CONTRACT_0916,contract_v5,206,Snow Work All employees who are required to work on snow work instead of their regularly assigned duties will receive pay at the rate of time and one-half for such work.,HARD,deontic:obligation,2,,,,,,,31
CONTRACT_1881,contract_v5,421,The work shoe allowance for all Distribution employees (excluding clericals) shall be fifty dollars ($50) payable annually.,HARD,deontic:obligation,2,,,,,,,17
CONTRACT_1270,contract_v5,283,(1) week of vacation in advance and may specify in which payroll period said payment shall be made.,HARD,deontic:obligation|deontic:permission,2,,,,,,,18
CONTRACT_0680,contract_v5,178,"The vacation pay for the period of vacation of a Bus Operator who is an ""extra list"" operator shall be paid at his/her regular rate of pay when on vacation a number of hours equal to the average number of paid hours per week in all regular runs on the schedules in effect for the division to which he/she is assigned at the time he/she takes such vacation.",HARD,deontic:obligation,2,,,,,,,68
CONTRACT_1358,contract_v5,303,Employees in the REM title may be assigned to familiarize the apprentices with certain tasks.,SOFT,deontic:permission,2,,,,,,,15
CONTRACT_0199,contract_v5,66,(The cost of alcoholic beverages is not reimbursable.) LODGING (Hotels and Motels) All travel arrangements for lodging must be made through the Authority’s travel agent.,HARD,deontic:obligation,2,,,,,,,25
CONTRACT_1387,contract_v5,307,"Up to thirty percent (30%) of runs may be swing runs and the remainder of scheduled runs shall be straight runs in the boroughs of Manhattan, the Bronx and Brooklyn. b.",HARD,deontic:obligation|deontic:permission,2,,,,,,,31
CONTRACT_1595,contract_v5,351,The eligibility requirements for such retirement shall be the same as for Transit Authority employees retiring under the 55 1/100 plan. c.,HARD,deontic:obligation,2,,,,,,,22
CONTRACT_0365,contract_v5,142,"If at any time the joint voluntary efforts of the parties pursuant to paragraph C above fail to yield sufficient qualified volunteers for overtime work in a job title within a work unit in a responsibility center, the head of such responsibility center shall have the option to cancel the work or assign the work to qualified employees on the basis of inverse seniority, not including those employees generally unable to work overtime pursuant to paragraph C above.",HARD,deontic:obligation,2,,,,,,,78
CONTRACT_0532,contract_v5,163,There shall be no transcripts or electronic records made of the proceedings. e.,HARD,deontic:obligation,2,,,,,,,13
CONTRACT_1427_p3,contract_v5,313,"2) When a line is to be transferred from one depot to another, arrangements shall be made for a depot pick at the depot which is to lose the line, prior to the date of the transfer, so that operators holding runs on the line to be transferred may choose whether to be transferred with the line to the other depot or to remain at their old depot.",HARD,deontic:obligation|deontic:permission,2,,,,,,,68
CONTRACT_1608,contract_v5,353,"Extra operators, and regular operators working as extras, when reporting for duty pursuant to orders, will be paid for all time during which they may be held at the depot prior to the time scheduled for the commencement of any run or trick to which they may be assigned.",SOFT,deontic:permission,2,,,,,,,49
CONTRACT_0674,contract_v5,177,(2) days per month for each month or the major portion thereof he/she shall have worked during the preceding vacation year but not more than four,HARD,deontic:obligation,2,,,,,,,26
CONTRACT_1394,contract_v5,308,"Assuming the lateness is through no fault of the operator, payment shall include an additional five",HARD,deontic:obligation,2,,,,,,,16
CONTRACT_1084,contract_v5,238,At the time of designation the Union shall state which local meeting the designated employee shall attend. 3) Employees assigned to Car Equipment shall be provided with prescription safety glasses.,HARD,deontic:obligation,2,,,,,,,30
CONTRACT_0391,contract_v5,145,Leaves of absence without pay shall be granted as set forth in this Agreement. 2.,HARD,deontic:obligation,2,,,,,,,15
CONTRACT_0836,contract_v5,196,"When an employee on duty or reporting for duty is ordered by his/her superior to report to the Transit Authority's Medical Department for physical examination and is pronounced fit for duty and given a ""Return to Duty"" slip by a physician of such department, no deduction from such employee's pay shall be made for the time necessarily consumed in compliance with such order; neither shall an employee lose any pay for attending a hearing at the Workers' Compensation Board, if such hearing is held during his/her tour of duty, and such hearing is held because of injury to himself, but not as a witness, provided, however, that such employee obtains an attendance slip from the Transit Authority attorney which sets forth the time of arrival and time of departure from such hearing.",HARD,deontic:obligation,2,,,,,,LONG_UNSPLIT,132
CONTRACT_0994,contract_v5,218,"Conductors Performing More than One Class of Service Should a conductor be required to perform more than one class of service within his/her title during his/her regular working day, he/she will be paid for all work performed by him/her during that working day at his/her regular rate of pay.",SOFT,deontic:preference,2,,,,,,,49
CONTRACT_1883,contract_v5,422,"The salary for Revenue Processing Coordinators (RPCs) shall be increased by 3.75% retroactive to November 2, 1998.",HARD,deontic:obligation,2,,,,,,,17
CONTRACT_0912,contract_v5,206,(2) tours of duty for Train Operators on the extra Extra List only shall be at least twelve (12) hours.,HARD,deontic:obligation,2,,,,,,,20
CONTRACT_1642,contract_v5,360,"A Bus Operator having a regularly assigned run on a holiday, or assigned to a supplementary run on a holiday, shall be paid straight time for eight",HARD,deontic:obligation,2,,,,,,,27
CONTRACT_2035,contract_v5,500,"Employees who are not transported and escorted are required to report for testing to the appropriate medical assessment center or other appropriate testing site, as directed by supervision, as soon as possible via public transportation.",HARD,deontic:obligation,2,,,,,,,35
CONTRACT_1781,contract_v5,394,Work Outside Classification Maintenance Department employees in any particular classification may be assigned to work in any classification when it is deemed necessary by the Operating Authority for the proper operation of the business.,SOFT,deontic:permission,2,,,,,,,34
CONTRACT_1627,contract_v5,356,In every case a doctor's certificate setting forth the nature of the illness and duration thereof must be furnished by the employee.,HARD,deontic:obligation,2,,,,,,,22
CONTRACT_0719,contract_v5,182,The provisions of this paragraph shall not be applicable to any employee who is required to work on Lincoln's Birthday.,HARD,deontic:prohibition|deontic:obligation|deontic:obligation,2,,,,,,,20
CONTRACT_1899_p2,contract_v5,427,"4) hours after his/her suspension (in case the suspension is on Saturday, Sunday or a holiday, such hearing to be within forty-eight (",HARD,deontic:obligation|deontic:permission,2,,,,,,,23
CONTRACT_0584,contract_v5,169,"In his/her discretion the Deputy Vice President, Labor Disputes Resolution or his/her designee may direct that such a conference be held. c.",SOFT,deontic:permission,2,,,,,,,22
CONTRACT_0578,contract_v5,168,The grievance shall be scheduled to be heard within fifteen (15) days after receipt of the written request by the employee's Department Head or designee.,HARD,deontic:obligation,2,,,,,,,25
CONTRACT_1569,contract_v5,346,"1) Where an employee’s physician disagrees with the determination of the Authority’s Medical Assessment Center (MAC) physician or Authority physician consultant, the employee, accompanied by his/her union representative, must immediately bring this to the attention of the Director of Labor Relations, MaBSTOA by furnishing medical evidence from his/her own physician.",HARD,deontic:obligation,2,,,,,,,50
CONTRACT_1423,contract_v5,312,The proper supervisors shall determine how many of such relief run schedules shall call for five,HARD,deontic:obligation,2,,,,,,,16
CONTRACT_2107,contract_v5,523,"A W A R D The appropriate contribution of Local 100 participating members to their Health Benefit Trust to cover the additional medical costs engendered by the newly legislated retirement program providing for retirement on and after the age of 55 years with 25 years of employment shall be .70% of wages effective from August 1, 1995 and increased to 1% of wages effective from September 1, 1996 October 10, 1995 Milton Rubin, Arbitrator I, Milton Rubin, hereby affirm that I prepared this Opinion and Award.",HARD,deontic:obligation,2,,,,,,LONG_UNSPLIT,86
CONTRACT_1568,contract_v5,345,The Impartial Arbitrator to hear all disciplinary grievances during the term of this Agreement shall be William Dougherty. 15.,HARD,deontic:obligation,2,,,,,,,19
CONTRACT_1039,contract_v5,229,"(8) consecutive hours off duty, at any time between the completion of one scheduled day's work and the beginning of the next scheduled day's work, he/she shall be excused with pay from such part of said next day's scheduled work as may be necessary in order that he/she may have eight",HARD,deontic:obligation|deontic:permission,2,,,,,,,51
CONTRACT_1588_p1,contract_v5,350,Disability benefits received by an employee under the Transport Workers Union-New York City Transit Authority-Manhattan and Bronx Surface Transit Operating Authority Health Benefit Trust shall be deemed as earnings for the purpose of calculating retirement advances. vii) An active employee who dies before attaining twenty (,HARD,deontic:obligation|deontic:permission,2,,,,,,,46
CONTRACT_1376,contract_v5,305,"However, the boost time at the end of the run shall be subtracted from the one",HARD,deontic:obligation,2,,,,,,,16
CONTRACT_1763_p1,contract_v5,387,6) hours in lieu of the allowance provided for in subdivision b. above.,HARD,deontic:obligation,2,,,,,,,13
CONTRACT_0655,contract_v5,176,"with respect to whether a run or work schedule imperils the health or safety of employees, shall be final and binding upon both parties.",HARD,deontic:obligation,2,,,,,,,24
CONTRACT_1995,contract_v5,491,"Each employee must also report the use of any other drug or substance, whether or not used pursuant to proper medical authorization, which may i~ir job perforrnance or pose a hazard to the safety of others.",HARD,deontic:obligation|deontic:permission,2,,,,,,,36
CONTRACT_0622,contract_v5,172,In no case shall the hearing before the Tripartite Arbitration Board be scheduled before the impartial physician's report is received by the parties.,HARD,deontic:obligation,2,,,,,,,23
CONTRACT_1696,contract_v5,368,"If an employee who, as a result of a physical condition resulting from a cause other than an injury sustained in the course of his/her employment, has completed less than ten (10) years of service at the time of his/her physical disqualification, is performing the work of another title, he/she shall receive the highest standard rate established for that title which is not above the minimum rate of pay for his/her original title.",HARD,deontic:obligation,2,,,,,,,73
CONTRACT_0295,contract_v5,133,"This provision does not preclude consideration of evidence as to an established past practice by the Impartial Arbitrator, who shall determine what weight to attach to it in light of the other provisions of this Agreement.",HARD,deontic:obligation,2,,,,,,,36
CONTRACT_0447,contract_v5,152,Those retaining the spousal pass may exchange it in the future for a universal pass. 2.,SOFT,deontic:permission,2,,,,,,,16
CONTRACT_0856_p3,contract_v5,199,"2) hours time at his/her regular rate of pay for each required report, if he/she is not, as a result of such telephone report, ordered to report in person.",HARD,deontic:obligation|deontic:obligation,2,,,,,,,29
CONTRACT_2117,contract_v5,530,"It is understood that in order to achieve this goal, a reduction in CMF headcount may be required.",SOFT,deontic:permission,2,,,,,,,18
CONTRACT_1296,contract_v5,290,Hours and Days of Work 1) The basic working day for Collecting Agents shall be eight,HARD,deontic:obligation,2,,,,,,,16
CONTRACT_0319,contract_v5,136,(5) representatives of the Union's choice may be released with pay for the purpose of prioritizing the Union's safety concerns which do not lend themselves to immediate resolution.,SOFT,deontic:permission,2,,,,,,,28
CONTRACT_0795,contract_v5,190,"No increase, by way of increment or otherwise, shall be made in the rate of pay of any incapacitated employee during the period of his/her incapacity, or until he/she returns to work in the same position which he/she held prior to the period of incapacity, at which time his/her regular rate of pay will become what it would have been had he/she remained continuously in active service.",HARD,deontic:obligation,2,,,,,,,67
CONTRACT_0844,contract_v5,197,"If the employee is performing light duty in his/her own position, he/she shall continue to receive the same rate of pay as though he/she were performing full duty in his/her own position. b.",HARD,deontic:obligation,2,,,,,,,33
CONTRACT_0087,contract_v5,30,Such appeal must be within five days of the close of the Step I hearing.,HARD,deontic:obligation,2,,,,,,,15
CONTRACT_1419_p3,contract_v5,312,"7) When an operator expects to be absent at a time when he/she is assigned to make his/her selection of runs or tricks he/she may leave with his/her superior in writing a list of his/her choice of runs or tricks, and in such case he/she will be assigned to the run or trick highest on such list which is not picked by an operator having a higher preference status than his/her, or he/she may authorize a representative to pick for him/her, in which event he/she will be assigned to the run or trick selected by such representative.",HARD,deontic:obligation|deontic:permission,2,,,,,,,97
CONTRACT_1950,contract_v5,438,P. 1996 Miscellaneous Agreements The parties have agreed that the following provisions pertaining to OA Traffic Checkers shall be in effect during the life of the 1996-1999 agreement. 1) New York City Transit will continue the pilot program involving a third Traffic Checker pick.,HARD,deontic:obligation,2,,,,,,,44
CONTRACT_1336,contract_v5,298,"Earnings Cap The earnings cap for employees shall be $75,000.00 over a rolling twelve (12) month period.",HARD,deontic:obligation,2,,,,,,,17
CONTRACT_0112,contract_v5,36,In order to accomplish this they may be assigned to different shifts.,SOFT,deontic:permission,2,,,,,,,12
CONTRACT_1470,contract_v5,323,"Overtime work assignments shall comply with Section 1.12 of this Agreement. 4) Overtime Salary Cap – Effective June 2, 1998, the salary cap for all Maintenance employees, including maintainers helpers and cleaners, shall be a maximum of $72, 250.00 per annum which includes all pay code events.",HARD,deontic:obligation,2,,,,,,,47
CONTRACT_2176,contract_v5,558,Any oral representation or modification concerning this Stipulation shall be of no force or effect.,HARD,deontic:obligation,2,,,,,,,15
CONTRACT_0390,contract_v5,145,Regulatory Provisions Department heads shall be responsible for ensuring that all employees under their supervision adhere to the following guidelines and provisions: 1.,HARD,deontic:obligation,2,,,,,,,23
CONTRACT_0888,contract_v5,204,"(8) hours pay, provided they report on time and work their full runs or tricks or hold themselves available for and perform all such work as may be assigned to them.",SOFT,deontic:permission,2,,,,,,,31
CONTRACT_0265,contract_v5,113,"In addition, the parties may discuss limited removal of cases from the calendar and the addition of suspension cases.",SOFT,deontic:permission,2,,,,,,,19
CONTRACT_1113,contract_v5,245,"(2) points and for the purpose of computing overtime, it shall be considered as actual working time. 2) When an employee or a group of employees are shifted from their picked location for a period of two",HARD,deontic:obligation,2,,,,,,,37
CONTRACT_0654,contract_v5,175,"If, in considering such complaint, the Impartial Arbitrator finds that a run or work schedule imperils the health or safety of employees - which is the sole extent of his jurisdiction - he shall set forth specifically the precise elements in the schedule on which he bases such opinion.",HARD,deontic:obligation,2,,,,,,,49
CONTRACT_0461,contract_v5,155,"A tripartite committee shall be established to review and make recommendations on the fairness and equity of the disciplinary system described in §§ 2.1(C), and 6.1 based on a series of questions to be agreed upon by the parties.",HARD,deontic:obligation,2,,,,,,,39
CONTRACT_1843,contract_v5,412,The Operating Authority shall grant a personal leave day to all employees on condition that the Operating Authority may limit the number of employees who may be off from work on any one day.,HARD,deontic:obligation|deontic:permission,2,,,,,,,34
CONTRACT_2194,contract_v5,567,Of course the Authority's former failure to do so may have lulled individual employees not to assert disciplinary appeal rights which they might have asserted had they known that subsequent discipline would be progressive.,SOFT,deontic:permission,2,,,,,,,34
CONTRACT_0337,contract_v5,139,"The savings associated with any gainsharing program, which may include a pilot phase if the committee so recommends, will be determined by periodic audits conducted by the Authority's Office of Internal Audit.",SOFT,deontic:permission,2,,,,,,,32
CONTRACT_0305,contract_v5,134,"(2) weeks, management shall submit to the Union a report stating its finding on the allegation and any proposed action. b.",HARD,deontic:obligation,2,,,,,,,21
CONTRACT_1189_p1,contract_v5,269,Verification of Accounts Time required to verify accounts with reliefs shall be at the beginning of an employee's scheduled tour of duty and be paid for as follows:,HARD,deontic:obligation,2,,,,,,,28
CONTRACT_1519,contract_v5,332,"When the Authority performs a procedure study, a union representative may be present on paid release time. 3.",SOFT,deontic:permission,2,,,,,,,18
CONTRACT_1948,contract_v5,437,"Such leave shall not changed to any other allowances, such as vacation or holiday. ""Immediate family"" is defined for this purpose as spouse: natural, foster, step parent, child, brother, sister, mother-in-law, father-in-law, natural grandparent, and any person residing in the household. ""Any person 311",HARD,deontic:prohibition|deontic:obligation,2,,,,,,,44
CONTRACT_1459,contract_v5,318,"3) The Transit Authority shall provide toilet facilities for Bus Operators, where feasible, on those lines which lack such facilities. 4) The Transit Authority and the Union shall jointly develop a pilot accident reduction incentive program for bus operators.",HARD,deontic:obligation,2,,,,,,,39
CONTRACT_0384,contract_v5,143,The appropriate Authority shall deduct the actual expense of making the payroll deductions by a deduction from the contributions.,HARD,deontic:obligation,2,,,,,,,19
CONTRACT_0147,contract_v5,48,Jury Duty Management agrees to amend §2.8 of the collective bargaining agreement for the Division of RTO only to allow employees who are on jury duty but are relieved from service to work their regular picked assignment while on any duty leave with the following conditions: . .. employee must notify the CAS with sufficient time to have the CAS schedule the employee.,HARD,deontic:obligation,2,,,,,,,63
CONTRACT_1507,contract_v5,329,"If no agreement is reached, the parties shall submit the dispute to a third-party arbitrator selected by the parties for resolution of this particular dispute, for final and binding resolution.",HARD,deontic:obligation,2,,,,,,,30
CONTRACT_0997,contract_v5,219,assigned to break him/her in and give him/her instruction shall receive an extra time allowance of two,HARD,deontic:obligation,2,,,,,,,17
CONTRACT_1882,contract_v5,421,"Work shoes must be worn during their tour of duty, and must be in conformance with the standards established by the Division. 295",HARD,deontic:obligation,2,,,,,,,23
CONTRACT_0913,contract_v5,206,"Overtime 1) A Train Operator who is assigned to extra work after he/she has finished his/her regularly assigned day's work, or is required to work more than eight",HARD,deontic:obligation,2,,,,,,,28
CONTRACT_1061,contract_v5,235,"The job duties of the titles CMA, ABM, MMC, CME, CMF, and CMC will be incorporated into the Car Inspector job specification and the incumbents shall be reclassified to the Car Inspector title. 3.",HARD,deontic:obligation,2,,,,,,,34
CONTRACT_0318_p4,contract_v5,136,"5) Emergency Safety Issues In emergencies, relevant Authority Senior Management will meet their counterparts from the Union (TWU Vice Presidents) to investigate emergency situations, day or night, and attempt to correct problems where possible.",HARD,deontic:obligation|deontic:permission|deontic:preference,2,,,,,,,34
