sentence_id,human_label,gpt_label,error_type,raw_text
CONTRACT_2107,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"A W A R D The appropriate contribution of Local 100 participating members to their Health Benefit Trust to cover the additional medical costs engendered by the newly legislated retirement program providing for retirement on and after the age of 55 years with 25 years of employment shall be .70% of wages effective from August 1, 1995 and increased to 1% of wages effective from September 1, 1996 October 10, 1995 Milton Rubin, Arbitrator I, Milton Rubin, hereby affirm that I prepared this Opinion and Award."
CONTRACT_1568,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,The Impartial Arbitrator to hear all disciplinary grievances during the term of this Agreement shall be William Dougherty. 15.
CONTRACT_1588_p1,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,Disability benefits received by an employee under the Transport Workers Union-New York City Transit Authority-Manhattan and Bronx Surface Transit Operating Authority Health Benefit Trust shall be deemed as earnings for the purpose of calculating retirement advances. vii) An active employee who dies before attaining twenty (
CONTRACT_1376,UNCLEAR,HARD,UNCLEAR → HARD,"However, the boost time at the end of the run shall be subtracted from the one"
CONTRACT_1763_p1,UNCLEAR,SOFT,UNCLEAR → SOFT,6) hours in lieu of the allowance provided for in subdivision b. above.
CONTRACT_0655,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"with respect to whether a run or work schedule imperils the health or safety of employees, shall be final and binding upon both parties."
CONTRACT_0295,NOT_CONSTRAINT,SOFT,NOT_CONSTRAINT → SOFT,"This provision does not preclude consideration of evidence as to an established past practice by the Impartial Arbitrator, who shall determine what weight to attach to it in light of the other provisions of this Agreement."
CONTRACT_0856_p3,HARD,SOFT,HARD → SOFT,"2) hours time at his/her regular rate of pay for each required report, if he/she is not, as a result of such telephone report, ordered to report in person."
CONTRACT_2117,NOT_CONSTRAINT,SOFT,NOT_CONSTRAINT → SOFT,"It is understood that in order to achieve this goal, a reduction in CMF headcount may be required."
CONTRACT_1296,UNCLEAR,HARD,UNCLEAR → HARD,Hours and Days of Work 1) The basic working day for Collecting Agents shall be eight
CONTRACT_1950,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,P. 1996 Miscellaneous Agreements The parties have agreed that the following provisions pertaining to OA Traffic Checkers shall be in effect during the life of the 1996-1999 agreement. 1) New York City Transit will continue the pilot program involving a third Traffic Checker pick.
CONTRACT_2176,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,Any oral representation or modification concerning this Stipulation shall be of no force or effect.
