constraint_id,domain,constraint_type,issue,raw_text
AFSCME_N_0461,municipal,HARD,GPT extraction failed — used fallback,"Furthermore, the FLSA liability shall be offset by the amount of overtime payments already paid to said employee in 50"
AFSCME_N_0309,municipal,HARD,GPT extraction failed — used fallback,A grievance must be submitted electronically (to a designated email address) within the thirty (30) day period specified
AFSCME_N_0330,municipal,HARD,GPT extraction failed — used fallback,"Therefore, requests for postponement of grievance meetings must normally be in writing and state the reason for the requ"
AFSCME_N_0340,municipal,HARD,GPT extraction failed — used fallback,The parties shall share equally in the expenses of the arbitrator. 4.
AFSCME_N_0338,municipal,HARD,GPT extraction failed — used fallback,Submission shall be filed electronically (to a designated email address) to the Office of Labor Relations. 2.
AFSCME_N_0372,municipal,SOFT,GPT extraction failed — used fallback,"In an effort to improve arbitration scheduling, the parties, through their respective designees, shall meet regularly to"
AFSCME_N_0370,municipal,SOFT,GPT extraction failed — used fallback,"An arbitrator who is new to the NP-3 panel may be removed from the panel by either party after he/she issues the first, "
BOSTON_A_0517,municipal,SOFT,GPT extraction failed — used fallback,The on-call employee may receive notifications from: a. the Commissioner or his/her designee outside of the bargaining u
BOSTON_A_0347,municipal,HARD,"Threshold mismatch: annotation=1.0, GPT=7","Requests for such leave indicating the date, time and purpose of the requested leave, shall be made in writing at least "
BOSTON_A_0437,municipal,HARD,GPT extraction failed — used fallback,The parties further agree that performance evaluations shall not serve as a basis for annual step increases nor shall th
BOSTON_A_0448,municipal,HARD,GPT extraction failed — used fallback,The City shall implement a training program for all AFSCME employees covered by this Agreement for the purpose of traini
BOSTON_A_0443,municipal,SOFT,GPT extraction failed — used fallback,An employee may rebut any or all portions of his/her evaluation on the Evaluation Form.
BOSTON_A_0349,municipal,HARD,"Threshold mismatch: annotation=1.0, GPT=7",Requests for such leave shall be made in writing to the Office of Labor Relations at least one week in advance of the me
BOSTON_A_0454,municipal,HARD,GPT extraction failed — used fallback,(To advance a step an employee must have been in the prior step for a full year).
BOSTON_A_0408,municipal,HARD,GPT extraction failed — used fallback,Employees who are receiving benefits under the City's workers’ compensation program shall be required to comply with the
BOSTON_A_0605,municipal,HARD,GPT extraction failed — used fallback,"If an employee is wearing a coat or jacket, he/she must wear the Department issued pinnie/vest at all times over his/her"
BOSTON_A_0606,municipal,SOFT,GPT extraction failed — used fallback,"Effective with thirty (30) days’ notice to the Union and employee, the Department may discontinue its provision of full "
BOSTON_A_0616,municipal,HARD,GPT extraction failed — used fallback,"Effective the first pay period July 2017, the above sentence shall be deleted and employees in the following titles who "
BOSTON_A_0500,municipal,HARD,GPT extraction failed — used fallback,The request shall be returned to the employee in a reasonable time indicating whether it has been approved or denied.
BOSTON_A_0546,municipal,HARD,GPT extraction failed — used fallback,"Further, in accordance with Settlement Agreement dated August 12, 2010, the City shall bear the cost of the examination "
BOSTON_A_0553,municipal,HARD,GPT extraction failed — used fallback,The test shall be pass/fail.
BOSTON_A_0528,municipal,HARD,GPT extraction failed — used fallback,"Effective with the start of the First Pay Period in July 2017, the meal allowance shall be increased to $10.00."
BOSTON_A_0171,municipal,HARD,GPT extraction failed — used fallback,"The term ""layoff"" shall include the nonrenewal of a provisional appointment, if the provisional employee has at least fi"
BOSTON_A_0156,municipal,HARD,GPT extraction failed — used fallback,The posting shall specify the duties and location of the position.
BOSTON_A_0074,municipal,HARD,GPT extraction failed — used fallback,The compensation and expense of the arbitrator shall be borne equally by the parties.
BOSTON_A_0067,municipal,SOFT,GPT extraction failed — used fallback,"In such cases, the party requesting bifurcation/separation shall give the other side reasonable notice of the request."
BOSTON_A_0252,municipal,SOFT,GPT extraction failed — used fallback,"Prior to departure on vacation leave, an employee may receive a cash advance up to ninety percent (90%) of the employee’"
BOSTON_A_0262,municipal,HARD,GPT extraction failed — used fallback,"Beginning on January 1, 2013, sick leave shall accrue at the rate of one"
BOSTON_A_0295,municipal,HARD,GPT extraction failed — used fallback,"Decisions of the Committee with respect to eligibility and entitlement shall be final, and shall not be the subject of g"
BOSTON_A_0317,municipal,HARD,GPT extraction failed — used fallback,It is understood that bereavement days must be days upon which the employee is regularly scheduled to work.
BOSTON_A_0209,municipal,SOFT,GPT extraction failed — used fallback,"In this manner, medical coverage may be continued during the period that an employee retains his/her employee status by "
BOSTON_A_0217,municipal,SOFT,GPT extraction failed — used fallback,The City reserves and retains the right to determine whether the Employee who actually works on a holiday shall receive 
BOSTON_A_0181_p2,municipal,SOFT,GPT extraction failed — used fallback,1) a vacancy in an equal or lower-graded job classification within the employee’s job series within the Department and p
BOSTON_A_0409,municipal,HARD,Annotation has threshold 'max_hours=6' but GPT returned none,An employee who while in the performance of his/her duty receives bodily injuries resulting from acts of violence of a c
BOSTON_I_0078,municipal,HARD,GPT extraction failed — used fallback,(4) day workweek shall not be eligible for overtime until and unless all prerequisites regarding overtime eligibility ap
BOSTON_I_0206,municipal,HARD,GPT extraction failed — used fallback,"(a) No material originating from the City derogatory to an employee's conduct, service, character, or personality shall "
BOSTON_I_0213,municipal,HARD,GPT extraction failed — used fallback,Members of the bargaining unit must be residents of the City of Boston in accordance with the City of Boston's Residency
BOSTON_I_0222,municipal,SOFT,GPT extraction failed — used fallback,An on-call list shall be established on a voluntary basis.
BOSTON_I_0238,municipal,HARD,GPT extraction failed — used fallback,The evaluations shall be undertaken by the Director or their designated management staff and shall be approved by the Co
BOSTON_I_0293,municipal,HARD,GPT extraction failed — used fallback,"Prior to offering a vacancy to any other person, the Department shall offer the position to qualified responding employe"
BOSTON_I_0285,municipal,HARD,GPT extraction failed — used fallback,The City shall notify the employees designated for layoff at least twenty (20) working days prior to the intended layoff
BOSTON_I_0306,municipal,HARD,GPT extraction failed — used fallback,Only one $50 payment shall be made to each employee during the term of this agreement.
BOSTON_I_0245,municipal,HARD,GPT extraction failed — used fallback,Failure to comply with this section shall subject an employee to progressive discipline.
BOSTON_I_0267,municipal,HARD,GPT extraction failed — used fallback,Eligibility: To participate employees must currently be enrolled in medical coverage through the City of Boston and drop
BOSTON_I_0054,municipal,HARD,GPT extraction failed — used fallback,Employees shall not accept compensatory time off in lieu of monetary compensation for overtime work.
BOSTON_I_0015,municipal,HARD,GPT extraction failed — used fallback,Only matters involving the question whether the Municipal Employer is complying with the express provisions of this Agre
BOSTON_I_0024,municipal,SOFT,GPT extraction failed — used fallback,"If the grievance is not resolved at Step 3 within fifteen (15) working days, the Union, and only the Union, may submit t"
BOSTON_I_0036,municipal,HARD,GPT extraction failed — used fallback,The decision of the arbitrator shall be final and binding upon the parties.
BOSTON_I_0140,municipal,HARD,Annotation has threshold 'max_hours=6' but GPT returned none,"However, an employee who while in the performance of their duty receives bodily injuries resulting from acts of violence"
BOSTON_I_0125_p1,municipal,HARD,Annotation has threshold 'min_service=30' but GPT returned none,"If the employment of any employee entitled to vacation leave under Section 2, Section 3 or Section 4 of this Article is "
DC37_NYC_0031,municipal,HARD,GPT extraction failed — used fallback,shall be required to follow daily time clock or sign-in procedures.
DC37_NYC_0033,municipal,HARD,GPT extraction failed — used fallback,"Effective April I, 2000, the cap shall be $56,731 200 ii."
IBEW_LOC_0318,municipal,HARD,GPT extraction failed — used fallback,"Employees may carry over to a succeeding fiscal year any unused floating holidays, provided that the number of floating "
IBEW_LOC_0481,municipal,HARD,GPT extraction failed — used fallback,"This Agreement shall be effective July 1, 2022, and shall remain in full force and effect through June 30, 2024, with no"
IBEW_LOC_0103,municipal,HARD,GPT extraction failed — used fallback,"Except in cases of urgent need, each City department shall post notices of vacancies in a prominent location in the depa"
IBEW_LOC_0534,municipal,HARD,GPT extraction failed — used fallback,"In the event of a tie, the tie shall be broken consistent with Civil Service Commission Rule 121.3."
IBEW_LOC_0399,municipal,HARD,GPT extraction failed — used fallback,This section shall not be subject to the grievance procedure.
IBEW_LOC_0445,municipal,HARD,GPT extraction failed — used fallback,"If the safety officer determines that the complaint is valid, the officer’s determination, including recommendations reg"
IBEW_LOC_0532,municipal,HARD,GPT extraction failed — used fallback,"Eligible employees shall be those non-probationary employees in classification 7318 Electronic Maintenance Technician, o"
IBEW_LOC_0472,municipal,HARD,GPT extraction failed — used fallback,"Current bargaining unit employees, (i.e., employees hired prior to October 1, 2000) shall continue to have City vehicles"
IBEW_LOC_0466,municipal,SOFT,GPT extraction failed — used fallback,The parties mutually agree that employees may print out pay advices during work hours.
IBEW_LOC_0478,municipal,SOFT,GPT extraction failed — used fallback,"Consistent with the provisions of Charter Section A8.409, this Agreement shall be reopened if the Charter is amended to "
IBEW_LOC_0483,municipal,SOFT,GPT extraction failed — used fallback,"(1) year continuous permanent service in any class immediately prior to receipt of application, may apply for tuition re"
IBEW_LOC_0700,municipal,SOFT,GPT extraction failed — used fallback,The SAPC may recommend that the Covered Employee voluntarily enter into an appropriate rehabilitation program administer
IBEW_LOC_0680,municipal,SOFT,GPT extraction failed — used fallback,"(3) days, the MRO may deem the Covered Employee’s result as a positive result. c."
IBEW_LOC_0664,municipal,HARD,GPT extraction failed — used fallback,Confirmation tests shall be conducted at a laboratory.
IBEW_LOC_0754,municipal,SOFT,GPT extraction failed — used fallback,"Process for Periodic Union Orientations: By mutual agreement, the Union NEO Coordinator and the Departmental NEO Coordin"
IBEW_LOC_0727,municipal,HARD,GPT extraction failed — used fallback,"NEOs shall be scheduled during an employee’s regularly scheduled, paid time."
IBEW_LOC_0602,municipal,SOFT,GPT extraction failed — used fallback,Trades are allowed for the detail shifts and must be approved by the Communications Line Supervisor II.
IBEW_LOC_0559,municipal,HARD,GPT extraction failed — used fallback,Employees described in G. above shall be bid into the Units where vacancies described in H. above are determined to exis
IBEW_LOC_0635,municipal,SOFT,GPT extraction failed — used fallback,Any individual or employee may report another employee who may appear to that individual or employee to be under the inf
IBEW_LOC_0652,municipal,HARD,GPT extraction failed — used fallback,"If the first designated representative does not answer, DHR or designee shall leave a voice mail message notifying the u"
IBEW_LOC_0137,municipal,HARD,GPT extraction failed — used fallback,This provision shall not apply to a class “C” driver’s license.
IBEW_LOC_0123,municipal,HARD,GPT extraction failed — used fallback,"The probationary period, as defined and administered by the Civil Service Commission (“Probationary Period”) shall be as"
IBEW_LOC_0126,municipal,SOFT,"Threshold mismatch: annotation=2.0, GPT=14",The City shall make reasonable efforts to give notice to the Union at least two weeks prior to the time that it seeks to
IBEW_LOC_0190,municipal,HARD,GPT extraction failed — used fallback,"Effective July 1, 2023, employees in classifications 7350 Transmission and Distribution Line Worker, 7229 Transmission L"
IBEW_LOC_0193,municipal,HARD,GPT extraction failed — used fallback,"Effective close of business June 30, 2024, employees in classifications 7430 Assistant Electronic Maintenance Technician"
IBEW_LOC_0101,municipal,SOFT,GPT extraction failed — used fallback,The City may require a department representative to escort Union representatives when the Union representative seeks acc
IBEW_LOC_0023,municipal,HARD,GPT extraction failed — used fallback,The Union side of the Committee shall consist of two
IBEW_LOC_0080,municipal,SOFT,GPT extraction failed — used fallback,"By mutual agreement, the parties may utilize the following procedures: 52."
IBEW_LOC_0066,municipal,HARD,GPT extraction failed — used fallback,"(7) calendar days, the arbitrator shall be selected from a panel obtained through the State Mediation and Conciliation S"
IBEW_LOC_0284,municipal,HARD,GPT extraction failed — used fallback,A non-“Z” classified employee who is appointed to a position in another department shall have the employee’s entire CTO 
IBEW_LOC_0371,municipal,HARD,GPT extraction failed — used fallback,Employees covered by this Agreement shall be enrolled in the State Disability Insurance (“SDI”) program. 262.
IBEW_LOC_0619_p1,municipal,HARD,GPT extraction failed — used fallback,"Vacation, sick leave, administrative leave time and all other leave shall be excluded when determining whether a Covered"
IBEW_LOC_0366_p2,municipal,SOFT,GPT extraction failed — used fallback,"t) due date, provided, however, that, at any time before that date, the Appointing Officer, in the appointing officer’s "
IBEW_LOC_0383,municipal,HARD,GPT extraction failed — used fallback,"For purposes of this agreement, to ensure that all employees enrolled in health insurance through the City’s Health Serv"
IBEW_LOC_0566,municipal,HARD,GPT extraction failed — used fallback,"In the event that management determines to fill a vacancy, the vacancy shall JULY 1, 2024 - JUNE 30, 2027 MOU BETWEEN CI"
IBEW_LOC_0525,municipal,SOFT,GPT extraction failed — used fallback,An eligible employee may apply for reimbursement for a training course pertaining to the duties of a higher classificati
IBEW_LOC_0432,municipal,HARD,GPT extraction failed — used fallback,"An employee shall be provided leave with pay on a work day on which the employee performs jury service, providing the em"
IBEW_LOC_0469,municipal,HARD,GPT extraction failed — used fallback,The statement must be submitted to the parties set forth in subsection
IBEW_LOC_0719,municipal,HARD,GPT extraction failed — used fallback,"If no extenuating reasons exist, the MRO shall designate the test positive."
IBEW_LOC_0715,municipal,HARD,GPT extraction failed — used fallback,"In addition, the testing laboratory shall preserve a sufficient specimen to permit an independent re-testing at the Cove"
IBEW_LOC_0611,municipal,HARD,GPT extraction failed — used fallback,(Not applicable to employees working straight eights or twelves.) In the event an employee works through the employee’s 
IBEW_LOC_0626,municipal,HARD,GPT extraction failed — used fallback,No Powerhouse Operator shall be assigned to work alone at Early Intake on a Saturday or a Sunday without another City em
IBEW_LOC_0606,municipal,HARD,GPT extraction failed — used fallback,Operational positions shall be awarded on the basis of Departmental classification seniority. f.
IBEW_LOC_0598,municipal,HARD,GPT extraction failed — used fallback,Displaced employees shall be listed by Departmental classification seniority order. h.
IBEW_LOC_0678,municipal,HARD,GPT extraction failed — used fallback,The second employer representative shall verify the contemporaneous basis for the suspicion.
IBEW_LOC_0417,municipal,HARD,GPT extraction failed — used fallback,The aforesaid payments shall not be considered as part of an employee’s salary for the purpose of computing straight tim
IBEW_LOC_0142,municipal,SOFT,"Threshold mismatch: annotation=2.0, GPT=14",The City shall make reasonable efforts to give notice to the Union at least two weeks prior to the time that it seeks to
IBEW_LOC_0184,municipal,HARD,GPT extraction failed — used fallback,"Upon request by the Union, the City shall make available for inspection any and all pertinent background and/or document"
IBEW_LOC_0079,municipal,SOFT,GPT extraction failed — used fallback,Non-Probationary and Provisional Employees: Any permanent employee covered by this Agreement who is non-probationary may
IBEW_LOC_0069,municipal,HARD,GPT extraction failed — used fallback,The City shall provide the Union with a list of Designated Management Officials and Appointing Officers with their conta
IBEW_LOC_0346,municipal,SOFT,GPT extraction failed — used fallback,Floating holidays may be taken in hourly increments up to and including the number of hours contained in the employee’s 
MA_NAGE__0508,municipal,SOFT,GPT extraction failed — used fallback,"If the title of the employee is abolished as a result of the transfer of the functions to another department/agency, suc"
MA_NAGE__0429,municipal,SOFT,GPT extraction failed — used fallback,"Notwithstanding the above paragraphs, employees may return to their former job titles under these provisions provided th"
MA_NAGE__0492,municipal,SOFT,GPT extraction failed — used fallback,"If the position of the least senior employee is a part-time position, the full-time employee whose position has to be el"
MA_NAGE__0602,municipal,SOFT,GPT extraction failed — used fallback,The Union or any employee may file a grievance based on a performance evaluation or on any material either of which resu
MA_NAGE__0396,municipal,HARD,GPT extraction failed — used fallback,"Program at the University of Massachusetts Medical School, fifty percent (50%) tuition remission shall apply;"
MA_NAGE__0291,municipal,HARD,GPT extraction failed — used fallback,Section 9.5 A regular part-time employee shall accumulate vacation leave in the same proportion that his/her part-time s
MA_NAGE__0287,municipal,SOFT,GPT extraction failed — used fallback,The Appointing Authority shall notify new employees in writing at the time of hire that they may request credit for prio
MA_NAGE__0285,municipal,HARD,GPT extraction failed — used fallback,Employees whose service commences during the middle of a bi-weekly pay period shall have vacation leave credits prorated
MA_NAGE__0669_p6,municipal,HARD,"Threshold mismatch: annotation=2.0, GPT=14","5) Post hearing briefs if any, must be submitted within two weeks of the close of the hearing."
NYC_UFT__0225,municipal,HARD,GPT extraction failed — used fallback,"Special Education Committee Non-District 75 schools shall have a special education committee, selected by the UFT chapte"
NYC_UFT__0240,municipal,SOFT,GPT extraction failed — used fallback,The guidance will include a non-exhaustive list of measures schools may take to support continuity of instruction during
NYC_UFT__0027,municipal,HARD,GPT extraction failed — used fallback,Parent engagement shall be added to the Professional Activity Menu for all schools.
SEIU_102_1042,municipal,HARD,GPT extraction failed — used fallback,"Management, except in the event of an emergency as defined by state law, shall advise the union of the date of the inten"
SEIU_102_1088,municipal,SOFT,GPT extraction failed — used fallback,The committee will notify managers of approved work projects so that union representatives may be appropriately released
SEIU_102_1043,municipal,SOFT,GPT extraction failed — used fallback,"In the event the parties do not reach agreement thereon, the union may grieve and take to expedited arbitration such dis"
SEIU_102_1176,municipal,HARD,GPT extraction failed — used fallback,The only remedy for grievances regarding the holiday overtime rotation process shall be the opportunity to work on the f
SEIU_102_1172,municipal,HARD,GPT extraction failed — used fallback,"Should the Department make a holiday overtime assignment, the assignment will be made in addition to staff already assig"
SEIU_102_1125,municipal,SOFT,GPT extraction failed — used fallback,The department or the Union may propose changes in the procedures outlined above during the term of this agreement.
SEIU_102_0873,municipal,SOFT,GPT extraction failed — used fallback,"Additionally, the Committee may also consider relevant training issues, including, but not limited to, career paths, joi"
SEIU_102_0872,municipal,SOFT,GPT extraction failed — used fallback,The Committee may also consider training programs to be available to all employees represented by the Union. 686.
SEIU_102_0976,municipal,HARD,GPT extraction failed — used fallback,Approved sick leave under this section shall be paid retroactive to the first day of injury.
SEIU_102_1431,municipal,HARD,GPT extraction failed — used fallback,"Job Experience Crediting, as described below, shall apply to classifications in which at least fifteen percent (15%) of "
SEIU_102_1539,municipal,SOFT,GPT extraction failed — used fallback,(1) of the Union’s representatives may be a Union member designated by the Union.
SEIU_102_0467,municipal,HARD,"Threshold mismatch: annotation=1.0, GPT=15.0","Effective July 1, 2016, and in lieu of the general wage increase scheduled for that date under section III.A. of this Ag"
SEIU_102_0240,municipal,HARD,GPT extraction failed — used fallback,"This committee shall expire on June 30, 2023."
SEIU_102_0841,municipal,SOFT,GPT extraction failed — used fallback,Application to the program requires pre-approval by the Appointing Officer or designee and the Human Resources Director 
SEIU_102_0557,municipal,HARD,GPT extraction failed — used fallback,"When an employee accepts an appointment in a class having the same or lower salary grade, the employee shall be placed a"
